especievalida,nombrecomun,category,status,longitud,latitud
Zonotrichia leucophrys oriantha,gorrión corona blanca,iucn,Preocupación menor (lc),-101.4266667,25.3416667
Zonotrichia leucophrys leucophrys,gorrión corona blanca,iucn,Preocupación menor (lc),-112.8783333,28.3033333
Zonotrichia leucophrys gambelii,gorrión corona blanca,iucn,Preocupación menor (lc),-115.8666667,30.3666667
Zonotrichia leucophrys,gorrión corona blanca,iucn,Preocupación menor (lc),-114.4300045,28.8824166
Zonotrichia capensis septentrionalis,gorrión chingolo,iucn,Preocupación menor (lc),-92.12,15.085
Zonotrichia capensis,gorrión chingolo,iucn,Preocupación menor (lc),-92.6336291,16.7042298
Zonotrichia atricapilla,"gorrión corona amarilla, gorrión corona dorada",iucn,Preocupación menor (lc),-115.9085083,32.0453328
Zonotrichia albicollis,gorrión garganta blanca,iucn,Preocupación menor (lc),-107.992,30.6713
Zimmerius vilissimus vilissimus,mosquero ceja gris,iucn,Preocupación menor (lc),-92,15.9533333
Zimmerius vilissimus,"mosquerito cejas blancas, mosquero ceja gris",iucn,Preocupación menor (lc),-92.085257,15.086542
Zentrygon carrikeri,"paloma tuxtleña, paloma-perdiz tuxtleña",iucn,En peligro (EN),-95.1468534,18.5228338
Zentrygon carrikeri,"paloma tuxtleña, paloma-perdiz tuxtleña",nom059,En peligro de extinción (P),-95.1468534,18.5228338
Zentrygon albifacies,"paloma cara blanca, paloma-perdiz cara blanca",nom059,Amenazada (A),-100.1943898,17.4221123
Zentrygon albifacies,"paloma cara blanca, paloma-perdiz cara blanca",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Zenaida macroura,"huilota común, paloma huilota",iucn,Preocupación menor (lc),-103.5738524,25.8777308
Zenaida graysoni,"huilota de Isla Socorro, paloma de Socorro",nom059,Probablemente extinta en el medio silvestre (E),-110.95642,18.77768
Zenaida graysoni,"huilota de Isla Socorro, paloma de Socorro",iucn,Extinto en estado silvestre (EW),-110.95642,18.77768
Zenaida aurita salvadorii,paloma aurita,nom059,Sujeta a protección especial (Pr),-86.915,20.4366667
Zenaida aurita salvadorii,paloma aurita,iucn,Preocupación menor (lc),-86.915,20.4366667
Zenaida aurita,"huilota caribeña, paloma aurita",iucn,Preocupación menor (lc),-87.7313232,20.4823411
Zenaida aurita,"huilota caribeña, paloma aurita",nom059,Sujeta a protección especial (Pr),-87.7313232,20.4823411
Zenaida asiatica mearnsi,paloma ala blanca,iucn,Preocupación menor (lc),-99.5,17.55
Zenaida asiatica asiatica,paloma ala blanca,iucn,Preocupación menor (lc),-99.705,24.8566667
