especievalida,nombrecomun,categoriaresidenciaaves,longitud,latitud
Abeillia abeillei,colibrí pico corto,Residente (R),-92.1484124,15.0871128
Abeillia abeillei abeillei,colibrí pico corto,Residente (R),-96.3416667,17.6533333
Accipiter bicolor,gavilán bicolor,Residente (R),-89.3328902,18.5042572
Accipiter cooperii,gavilán de Cooper,Residente (R); Migratoria de invierno (MI),-103.518863,19.533456
Accipiter gentilis,gavilán azor,Residente (R),-103.5403837,19.53381
Accipiter striatus,"gavilán pecho canela, gavilán pecho rufo",Residente (R); Migratoria de invierno (MI),-99.1195214,20.0073064
Actitis macularius,playero alzacolita,Migratoria de invierno (MI),-99.4973373,19.1531034
Aechmophorus clarkii,achichilique pico naranja,Residente (R); Migratoria de invierno (MI),-98.9746928,19.2660737
Aechmophorus occidentalis,achichilique pico amarillo,Residente (R); Migratoria de invierno (MI),-111.2557983,27.9689337
Aegolius acadicus,"tecolote afilador, tecolote oyamelero norteño",Residente (R),-103.5403837,19.53381
Aegolius ridgwayi,"tecolote canelo, tecolote oyamelero sureño",Residente (R),-92.4166667,17.1666667
Aeronautes saxatalis,vencejo pecho blanco,Residente (R),-99.1195214,20.0073064
Aeronautes saxatalis saxatalis,vencejo pecho blanco,Residente (R),-101.8683333,21.8183333
Aethia cristatella,"alcuela crestada, alquita crestada",Accidental (A); Oceánica (O),-115.2866667,27.9566667
Agamia agami,garza agami,Residente (R),-91.3075,16.8127778
Agelaius phoeniceus,tordo sargento,Residente (R); Migratoria de invierno (MI),-103.5738524,25.8777308
Agelaius tricolor,tordo tricolor,Residente (R),-117.0033333,32.5333333
Aimophila notosticta,zacatonero oaxaqueño,Residente (R),-96.5470362,17.2867871
Aimophila rufescens,"zacatonero canelo, zacatonero rojizo",Residente (R),-96.4243948,15.9462477
Aimophila ruficeps,"zacatonero corona canela, zacatonero corona rufa",Residente (R),-99.1195214,20.0073064
Aix sponsa,pato arcoíris,Migratoria de invierno (MI),-101.2336599,19.6955962
Amaurolimnas concolor,"rascón café, rascón canelo",Residente (R),-94,17.75
Amaurospiza concolor,"semillero azul, semillero azulgris",Residente (R),-91.6739065,16.0997026
Amazilia rutila,"colibrí canela, colibrí canelo",Residente (R),-100.1943898,17.4221123
Amazilia tzacatl,"colibrí cola canela, colibrí cola rojiza",Residente (R),-95.01698,18.35812
Amazilia tzacatl tzacatl,colibrí cola rojiza,Residente (R),-91.0705556,16.0779167
Amazilia yucatanensis,"colibrí vientre canelo, colibrí yucateco",Residente (R),-95.4289046,18.6097735
