especievalida,nombrecomun,endemismo,longitud,latitud
Aimophila notosticta,zacatonero oaxaqueño,Endémica,-96.5470362,17.2867871
Amazilia yucatanensis,"colibrí vientre canelo, colibrí yucateco",Cuasiendémica,-95.4289046,18.6097735
Amazona finschi,loro corona lila,Endémica,-105.4616669,20.3047219
Amazona oratrix,loro cabeza amarilla,Cuasiendémica,-96.8705558,15.8469438
Amazona viridigenalis,loro tamaulipeco,Endémica,-98.0166667,24.7666667
Amazona xantholora,loro yucateco,Cuasiendémica,-89.3008333,18.605
Amphispizopsis quinquestriata,zacatonero cinco rayas,Semiendémica,-109.67802,28.57998
Antrostomus badius,"tapacamino huil, tapacaminos yucateco",Semiendémica,-86.9159475,20.8526565
Antrostomus salvini,"tapacamino ticuer, tapacaminos ticurú",Endémica,-91.584886,16.980111
Aphelocoma ultramarina,"chara pecho gris neovolcánica, chara transvolcánica",Endémica,-99.249065,19.009524
Archilochus alexandri,colibrí barba negra,Semiendémica,-105.4724853,20.3953046
Ardea herodias santilucae,garza morena,Endémica,-110,27.09
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",Endémica,-102.007923,19.490593
Arremonops rufivirgatus,rascador oliváceo,Cuasiendémica,-100.1943898,17.4221123
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",Endémica,-103.518863,19.533456
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",Cuasiendémica,-100.1943898,17.4221123
Basilinna xantusii,"zafiro bajacaliforniano, zafiro de Xantus",Endémica,-110.221748,23.449437
Bubo virginianus mayensis,búho cornudo,Endémica,-99.5,17.55
Buteo jamaicensis fumosus,aguililla cola roja,Endémica,-106.4133333,21.4533333
Buteo jamaicensis socorroensis,aguililla cola roja,Endémica,-110.9833333,18.75
Callipepla douglasii,codorniz cresta dorada,Endémica,-109.544274,28.4573233
Calocitta colliei,"urraca cara negra, urraca-hermosa cara negra",Endémica,-105.1531213,21.5057976
Calothorax lucifer,colibrí lucifer,Semiendémica,-99.1195214,20.0073064
Calothorax pulcher,"colibrí mixteco, colibrí tijereta oaxaqueño",Endémica,-94.8912506,16.598907
Campephilus imperialis,carpintero imperial,Endémica,-108.9866667,30.12
Campylorhynchus chiapensis,matraca chiapaneca,Endémica,-92.2333156,14.8890147
Campylorhynchus gularis,matraca serrana,Endémica,-108.034941,27.320249
Campylorhynchus jocosus,matraca del Balsas,Endémica,-96.510774,17.0098918
Campylorhynchus megalopterus,matraca barrada,Endémica,-103.518863,19.533456
Campylorhynchus rufinucha rufinucha,matraca nuca rufa,Endémica,-95.9333333,18.8833333
Campylorhynchus yucatanicus,matraca yucateca,Endémica,-89.83825,21.248864
Cardellina rubra,chipe rojo,Endémica,-100.1943898,17.4221123
Cardellina rubrifrons,chipe cara roja,Semiendémica,-105.5,23.6166667
Cardellina versicolor,chipe rosado,Cuasiendémica,-92.528605,16.673972
Cardinalis cardinalis mariae,cardenal rojo,Endémica,-106.2416667,21.305
Cassiculus melanicterus,cacique mexicano,Cuasiendémica,-100.1943898,17.4221123
Catharus occidentalis,zorzal mexicano,Endémica,-99.211,19.022
Centronyx bairdii,gorrión de Baird,Semiendémica,-108.349,30.7114
Coccothraustes abeillei,picogrueso encapuchado,Cuasiendémica,-92.085257,15.086542
Colaptes auratus rufipileus,carpintero de guadalupe,Endémica,-118.2666667,29
Colaptes auricularis,carpintero corona gris,Endémica,-100.1943898,17.4221123
Colinus nigrogularis,codorniz yucateca,Cuasiendémica,-89.0320753,18.4323762
Corvus imparatus,cuervo tamaulipeco,Cuasiendémica,-97.7766478,23.7870218
Corvus sinaloae,cuervo sinaloense,Endémica,-105.3478389,20.9613568
Coturnicops noveboracensis goldmani,gallineta del Lerma,Endémica,-99.5,19.25
Crotophaga sulcirostris pallidula,garrapatero pijuy,Endémica,-109.7066667,23.055
Cyanocorax beecheii,"chara de Beechy, chara sinaloense",Endémica,-108.946781,27.043627
Cyanocorax dickeyi,chara pinta,Endémica,-105.837406,23.480019
Cyanocorax sanblasianus,chara de San Blas,Endémica,-105.0348185,19.4473107
Cyanocorax yucatanicus,chara yucateca,Cuasiendémica,-89.9012736,18.5338613
Cyanolyca mirabilis,chara garganta blanca,Endémica,-100.1943898,17.4221123
Cyanolyca nanus,chara enana,Endémica,-96.640509,17.197801
Cynanthus auriceps,"esmeralda mexicana, esmeralda occidental",Endémica,-100.1943898,17.4221123
Cynanthus forficatus,"esmeralda de Cozumel, esmeralda de Isla Cozumel",Endémica,-87.01397,20.40559
Cynanthus latirostris,colibrí pico ancho,Semiendémica,-109.544274,28.4573233
Cypseloides storeri,"vencejo cara blanca, vencejo frente blanca",Endémica,-100.0429373,19.0444481
Cyrtonyx montezumae sallei,codorniz de salle,Endémica,-99.895,17.3466667
