especievalida,nombrecomun,estadomapa,ambiente,validacionambiente,longitud,latitud
Amphispizopsis quinquestriata,zacatonero cinco rayas,AGUASCALIENTES,Terrestre,Válido,-102.840121,21.8207677
Aphelocoma wollweberi,chara pecho gris,AGUASCALIENTES,Terrestre,Válido,-102.53333,22.16667
Catherpes mexicanus,"chivirín barranqueño, saltapared barranqueño",AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
Colinus virginianus,codorniz cotuí,AGUASCALIENTES,Terrestre,Válido,-102.3775685,21.935303
Corvus corax,cuervo común,AGUASCALIENTES,Terrestre,Válido,-102.559551,22.0314081
Cynanthus latirostris,colibrí pico ancho,AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
Dendrocygna bicolor,pijije canelo,AGUASCALIENTES,Dulceacuícola,Válido,-102.359839,21.8171982
Eugenes fulgens,colibrí magnífico,AGUASCALIENTES,Terrestre,Válido,-102.3739529,21.7539196
Geococcyx californianus,correcaminos norteño,AGUASCALIENTES,Terrestre,Válido,-102.233884,22.348508
Myiopsitta monachus,perico monje argentino,AGUASCALIENTES,Terrestre,Válido,-102.2844385,21.9763896
Pachyramphus aglaiae,"cabezón degollado, mosquero-cabezón degollado",AGUASCALIENTES,Terrestre,Válido,-102.372365,21.8045317
Parabuteo unicinctus,aguililla rojinegra,AGUASCALIENTES,Terrestre,Válido,-102.3336598,22.0307144
Pitangus sulphuratus,Luis bienteveo,AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
Sitta carolinensis,"bajapalos pecho blanco, sita pecho blanco",AGUASCALIENTES,Terrestre,Válido,-102.53333,22.16667
Spizella wortheni,gorrión de Worthen,AGUASCALIENTES,Terrestre,Válido,-101.8833333,21.9166667
Turdus assimilis,mirlo garganta blanca,AGUASCALIENTES,Terrestre,Válido,-102.2878432,21.8507445
Aphelocoma woodhouseii,chara de collar,AGUASCALIENTES,Terrestre,Válido,-102.2102389,22.1145688
Camptostoma imberbe,"mosquerito chillón, mosquero lampiño",AGUASCALIENTES,Terrestre,Válido,-102.233884,22.348508
Campylorhynchus gularis,matraca serrana,AGUASCALIENTES,Terrestre,Válido,-102.2915677,21.8852562
Cardinalis cardinalis,cardenal rojo,AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
Coragyps atratus,zopilote común,AGUASCALIENTES,Terrestre,Válido,-102.6408386,21.8796939
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",AGUASCALIENTES,Dulceacuícola,Válido,-102.372365,21.8045317
Eremophila alpestris,alondra cornuda,AGUASCALIENTES,Terrestre,Válido,-101.8663617,21.9350659
Lepidocolaptes leucogaster,"trepatroncos escarchado, trepatroncos mexicano",AGUASCALIENTES,Terrestre,Válido,-102.6189456,22.2618257
Megascops kennicottii,"tecolote del oeste, tecolote occidental",AGUASCALIENTES,Terrestre,Válido,-102.2664591,21.816056
Melanerpes formicivorus,carpintero bellotero,AGUASCALIENTES,Terrestre,Válido,-102.559551,22.0314081
Momotus mexicanus,"momoto corona café, momoto corona canela",AGUASCALIENTES,Terrestre,Válido,-102.7845132,21.8814318
Psaltriparus minimus,sastrecillo,AGUASCALIENTES,Terrestre,Válido,-102.53333,22.16667
Ptiliogonys cinereus,capulinero gris,AGUASCALIENTES,Terrestre,Válido,-102.740156,22.029854
Quiscalus mexicanus,zanate mayor,AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
Vireo huttoni,vireo reyezuelo,AGUASCALIENTES,Terrestre,Válido,-102.53333,22.16667
Amphispiza bilineata,zacatonero garganta negra,AGUASCALIENTES,Terrestre,Válido,-102.233884,22.348508
Callipepla squamata,codorniz escamosa,AGUASCALIENTES,Terrestre,Válido,-101.9139861,21.9299884
Catharus occidentalis,zorzal mexicano,AGUASCALIENTES,Terrestre,Válido,-102.76788,21.862005
Chloroceryle americana,martín pescador verde,AGUASCALIENTES,Dulceacuícola,Válido,-102.233884,22.348508
Columbina inca,"tortolita cola larga, tórtola cola larga",AGUASCALIENTES,Terrestre,Válido,-102.262506,21.8680153
Crotophaga sulcirostris sulcirostris,garrapatero pijuy,AGUASCALIENTES,Terrestre,Válido,-102.2833333,21.8833333
Dryobates villosus,"carpintero albinegro mayor, carpintero velloso-mayor",AGUASCALIENTES,Terrestre,Válido,-102.53333,22.16667
Geranoaetus albicaudatus,aguililla cola blanca,AGUASCALIENTES,Terrestre,Válido,-102.2994518,21.9359598
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",AGUASCALIENTES,Terrestre,Válido,-102.7852545,21.8816502
Junco phaeonotus,junco ojos de lumbre,AGUASCALIENTES,Terrestre,Válido,-102.53333,22.16667
Myiozetetes similis,"Luis gregario, luisito común",AGUASCALIENTES,Terrestre,Válido,-102.3505211,22.1796162
Peucaea botterii,zacatonero de Botteri,AGUASCALIENTES,Terrestre,Válido,-102.4233823,22.1699979
Trogon elegans,"coa elegante, trogón elegante",AGUASCALIENTES,Terrestre,Válido,-102.3505211,22.1796162
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",AGUASCALIENTES,Terrestre,Válido,-102.3205675,21.9120849
Tyto alba,lechuza de campanario,AGUASCALIENTES,Terrestre,Válido,-102.309943,21.894012
Aeronautes saxatalis,vencejo pecho blanco,AGUASCALIENTES,Terrestre,Válido,-102.3505211,22.1796162
