especievalida,nombrecomun,longitud,latitud
Abeillia abeillei,colibrí pico corto,-92.1484124,15.0871128
Abeillia abeillei abeillei,colibrí pico corto,-96.3416667,17.6533333
Accipiter bicolor,gavilán bicolor,-89.3328902,18.5042572
Accipiter chionogaster,gavilán pecho blanco,-91.7016667,16.755
Accipiter cooperii,gavilán de Cooper,-103.518863,19.533456
Accipiter gentilis,gavilán azor,-103.5403837,19.53381
Accipiter gentilis apache,gavilán azor,-99.5,17.55
Accipiter gentilis atricapillus,gavilán azor,-108.3833333,26.9916667
Accipiter striatus,"gavilán pecho canela, gavilán pecho rufo",-99.1195214,20.0073064
Accipiter striatus suttoni,gavilán pecho rufo,-103.5916667,19.58
Accipiter striatus velox,gavilán pecho rufo,-99.5,17.55
Actitis macularius,playero alzacolita,-99.4973373,19.1531034
Aechmophorus clarkii,achichilique pico naranja,-98.9746928,19.2660737
Aechmophorus occidentalis,achichilique pico amarillo,-111.2557983,27.9689337
Aechmophorus occidentalis ephemeralis,achichilique pico amarillo,-105.4833333,28.2666667
Aegolius acadicus,"tecolote afilador, tecolote oyamelero norteño",-103.5403837,19.53381
Aegolius ridgwayi,"tecolote canelo, tecolote oyamelero sureño",-92.4166667,17.1666667
Aeronautes saxatalis,vencejo pecho blanco,-99.1195214,20.0073064
Aeronautes saxatalis nigrior,vencejo pecho blanco,-92.1833333,16.1833333
Aeronautes saxatalis saxatalis,vencejo pecho blanco,-101.8683333,21.8183333
Aethia cristatella,"alcuela crestada, alquita crestada",-115.2866667,27.9566667
Agamia agami,garza agami,-91.3075,16.8127778
Agelaius phoeniceus,tordo sargento,-103.5738524,25.8777308
Agelaius tricolor,tordo tricolor,-117.0033333,32.5333333
Aimophila notosticta,zacatonero oaxaqueño,-96.5470362,17.2867871
Aimophila rufescens,"zacatonero canelo, zacatonero rojizo",-96.4243948,15.9462477
Aimophila ruficeps,"zacatonero corona canela, zacatonero corona rufa",-99.1195214,20.0073064
