especievalida,nombrecomun,estadomapa,exoticainvasora,longitud,latitud
Bubulcus ibis,garza ganadera,AGUASCALIENTES,Exótica-Invasora,-102.3088268,21.9427619
Columba livia,paloma doméstica,AGUASCALIENTES,Exótica-Invasora,-102.2503138,21.8100119
Myiopsitta monachus,perico monje argentino,AGUASCALIENTES,Exótica-Invasora,-102.2844385,21.9763896
Passer domesticus,"gorrión casero, gorrión doméstico",AGUASCALIENTES,Exótica-Invasora,-102.3205675,21.9120849
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",AGUASCALIENTES,Exótica-Invasora,-102.465337,21.8830212
Sturnus vulgaris,estornino pinto,AGUASCALIENTES,Exótica-Invasora,-102.3205675,21.9120849
Bubulcus ibis,garza ganadera,BAJA CALIFORNIA,Exótica-Invasora,-115.2737954,32.4377115
Columba livia,paloma doméstica,BAJA CALIFORNIA,Exótica-Invasora,-114.73141,32.715386
Lonchura punctulata,capuchino pecho escamoso,BAJA CALIFORNIA,Exótica-Invasora,-116.9049597,32.202071
Myiopsitta monachus,perico monje argentino,BAJA CALIFORNIA,Exótica-Invasora,-115.5468333,32.5973611
Passer domesticus,"gorrión casero, gorrión doméstico",BAJA CALIFORNIA,Exótica-Invasora,-114.73141,32.715386
Phasianus colchicus,faisán de collar,BAJA CALIFORNIA,Exótica-Invasora,-115.0474958,32.2553675
Streptopelia chinensis,"paloma ala dorada, paloma de oriente",BAJA CALIFORNIA,Exótica-Invasora,-117.0537472,32.3312382
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",BAJA CALIFORNIA,Exótica-Invasora,-114.73141,32.715386
Streptopelia roseogrisea,paloma de collar africana,BAJA CALIFORNIA,Exótica-Invasora,-117.0537472,32.3312382
Sturnus vulgaris,estornino pinto,BAJA CALIFORNIA,Exótica-Invasora,-114.73141,32.715386
Bubulcus ibis,garza ganadera,BAJA CALIFORNIA SUR,Exótica-Invasora,-109.6921,23.057433
Columba livia,paloma doméstica,BAJA CALIFORNIA SUR,Exótica-Invasora,-110.337019,24.145716
Myiopsitta monachus,perico monje argentino,BAJA CALIFORNIA SUR,Exótica-Invasora,-110.3401728,24.144575
Passer domesticus,"gorrión casero, gorrión doméstico",BAJA CALIFORNIA SUR,Exótica-Invasora,-111.295801,25.699413
Phasianus colchicus,faisán de collar,BAJA CALIFORNIA SUR,Exótica-Invasora,-110.2390881,23.4374424
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",BAJA CALIFORNIA SUR,Exótica-Invasora,-112.8978724,27.2839165
Streptopelia roseogrisea,paloma de collar africana,BAJA CALIFORNIA SUR,Exótica-Invasora,-109.9048996,22.8899872
Sturnus vulgaris,estornino pinto,BAJA CALIFORNIA SUR,Exótica-Invasora,-109.6914954,23.0485647
Bubulcus ibis,garza ganadera,CAMPECHE,Exótica-Invasora,-92.09223,18.6205508
