especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Zonotrichia querula,gorrión de Harris,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Cataviña (pueblo),MEXICO / BAJA CALIFORNIA / ENSENADA,-114.7220707,29.7325204
Zonotrichia leucophrys oriantha,gorrión corona blanca,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,San José del Cabo,MEXICO / BAJA CALIFORNIA SUR,-109.69,23.055
Zonotrichia leucophrys leucophrys,gorrión corona blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"GOLFO DE CALIFORNIA, BARRIL, 28º 20'",MEXICO / BAJA CALIFORNIA,-112.8783333,28.3033333
Zonotrichia leucophrys gambelii,gorrión corona blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,ARROYO SAN SIMON,MEXICO / BAJA CALIFORNIA,-115.8666667,30.3666667
Zonotrichia leucophrys,gorrión corona blanca,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Zonotrichia capensis septentrionalis,gorrión chingolo,CHIAPAS,07,CACAHOATAN,07015,"VOLCáN TACANá, PAPALES",MEXICO / CHIAPAS,-92.12,15.085
Zonotrichia capensis,gorrión chingolo,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,"María Auxiliadora, San Cristóbal de las Casas, Chis., México",MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.6336291,16.7042298
Zonotrichia atricapilla,"gorrión corona amarilla, gorrión corona dorada",BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Zonotrichia albicollis,gorrión garganta blanca,BAJA CALIFORNIA,02,ENSENADA,02001,Laguna de La Salina,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.8747804,32.056249
Zimmerius vilissimus vilissimus,mosquero ceja gris,CHIAPAS,07,LA TRINITARIA,07099,"Santa Rosa, Comitán",MEXICO / CHIAPAS,-92,15.9533333
Zimmerius vilissimus,"mosquerito cejas blancas, mosquero ceja gris",CAMPECHE,04,CHAMPOTON,04004,Ramonal,MEXICO / CAMPECHE / CHAMPOTON,-90.7243388,18.9949694
Zentrygon lawrencii,paloma-perdiz tuxtleña,VERACRUZ DE IGNACIO DE LA LLAVE,30,SANTIAGO TUXTLA,30143,TOP OF CERRO TUXTLA,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-95.35,18.4666667
Zentrygon carrikeri,"paloma tuxtleña, paloma-perdiz tuxtleña",VERACRUZ DE IGNACIO DE LA LLAVE,30,SAN ANDRES TUXTLA,30141,Reserva de la Biosfera Los Tuxtlas--Carretera San Andrés Tuxtla-Ruiz Cortines,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE / SAN ANDRES TUXTLA,-95.1468534,18.5228338
Zentrygon albifacies,"paloma cara blanca, paloma-perdiz cara blanca",CHIAPAS,07,COMITAN DE DOMINGUEZ,07019,Santa Rosa | county: Meseta Comiteca Tojolabal,MEXICO / CHIAPAS,-92.2351,16.4888
Zenaida macroura,"huilota común, paloma huilota",AGUASCALIENTES,01,JESUS MARIA,01005,"Cieneguitas, Ags., México",MEXICO / AGUASCALIENTES / JESUS MARIA,-102.4266666,21.8952777
Zenaida aurita salvadorii,paloma aurita,QUINTANA ROO,23,COZUMEL,23001,Isla Cozumel,MEXICO / QUINTANA ROO,-86.915,20.4366667
Zenaida aurita,"huilota caribeña, paloma aurita",CAMPECHE,04,CALKINI,04001,Reserva de la Biosfera Ría Celestún--Nichili,MEXICO / CAMPECHE / CALKINI,-90.4144979,20.7971078
Zenaida asiatica mearnsi,paloma ala blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SAN ANDRES,MEXICO / BAJA CALIFORNIA,-114.25,28.7166667
Zenaida asiatica asiatica,paloma ala blanca,CHIAPAS,07,ANGEL ALBINO CORZO,07008,"COMETAN DIST PRUSIA, ATLANTIC SLOPE",MEXICO / CHIAPAS,-92.7916667,15.7116667
Zenaida asiatica,paloma alas blancas,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Manuel M. Ponce 134, Barrio de San Marcos, 20070 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3033014,21.8795451
Xiphorhynchus flavigaster,trepatroncos bigotudo,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Xiphorhynchus erythropygius,"trepatroncos manchado, trepatroncos moteado",CHIAPAS,07,LA TRINITARIA,07099,PN Lagunas de Montebello--Sendero Laguna Pojoj,MEXICO / CHIAPAS / LA TRINITARIA,-91.6739065,16.0997026
Xiphocolaptes promeropirhynchus omiltemensis,trepatroncos gigante,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF6,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3047778,16.2000833
