paiscoleccion,institucion,coleccion
ALEMANIA,"MTKD-SNSD Museum für Tierkunde, Senckenberg Naturhistorische Sammlungen Dresden",MTD Collection Ornithologie
ALEMANIA,"MfN Museum für Naturkunde, Leibniz Institut für Evolutions und Biodiversitätsforschung, Berlin",ZMB Ornithology Collection
ALEMANIA,SFNF Senckenberg Forschungsinstitut und Naturmuseum Frankfurt,SMF Ornithologie Sammlung
ALEMANIA,SMNS Staatliches Museum für Naturkunde Stuttgard,SMNS Ornithologie Sammlung
ALEMANIA,ZFMK Zoologisches Forschungsinstitut und Museum Alexander Koenig,ZFMK Ornithology Collection
ARGENTINA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird eBird Argentina
AUSTRALIA,"ANWC-CSIRO Australian National Wildlife Collection, Commonwealth Scientific and Industrial Research Organisation",ANWC Birds Collection
AUSTRALIA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird Eremaea eBird in Australia
AUSTRALIA,"NMV Museum Victoria, Melbourne",MV Ornithology Collection
AUSTRALIA,QM Queensland Museum,QM Collection of Birds
AUSTRIA,"LMOB Upper Austrian State Museum, Biologiezentrum Linz",VERT Vertebrates Collection
BRASIL,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird eBird Brasil
BRASIL,MBML Museu de Biologia Professor Mello Leitão,MBML Coleção de Aves
BRASIL,"MN-UFRJ Museu Nacional, Universidade Federal do Rio de Janeiro",MNRJ Coleção Ornitológica
CANADA,CMMN The Canadian Migration Monitoring Network,BSC Bird Studies Canada
CANADA,CMN Canadian Museum of Nature,CMNAV Bird Collection
CANADA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird eBird Canada
CANADA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird eBird Québec
CANADA,"CVM-UBC Centre for Biodiversity, Cowan Vertebrate Museum, University of British Columbia",UBCBBM Collection of Birds
CANADA,PMA Provincial Museum of Alberta,RAM Ornithology Collection
CANADA,ROM Royal Ontario Museum,ROMO Ornithology Collection
CANADA,RSM Royal Saskatchewan Museum,RSM Ornithology Collection
CHILE,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird eBird Chile
COLOMBIA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird eBird Colombia
DINAMARCA,"NHMD-UC Natural History Museum of Denmark, University of Copenhagen",ZMUC Ornithology Collection
ESPAÑA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird eBird España
ESPAÑA,MCNB Museo de Ciencias Naturales de Barcelona,MCNB Colección de Cordados
ESPAÑA,"MNCN-CSIC Museo Nacional de Ciencias Naturales, Consejo Superior de Investigaciones Científicas",MNCN Colección de Aves
ESTADOS UNIDOS DE AMERICA,AMNH American Museum of Natural History,AMNH Ornithology Collection
ESTADOS UNIDOS DE AMERICA,"ANSP Academy of Natural Sciences, Philadelphia",ANSP Ornithological Collection
ESTADOS UNIDOS DE AMERICA,"ASNHC-ASU Angelo State Natural History Collections, Angelo State University",ASNHC Birds Collection
ESTADOS UNIDOS DE AMERICA,ASU Arizona State University,ASUORC Collection of Ornithology
ESTADOS UNIDOS DE AMERICA,"BLB-OSU Borror Laboratory of Bioacoustics, The Ohio State University",BLB Bird Collection
ESTADOS UNIDOS DE AMERICA,"BM-UW Burke Museum of Natural History and Culture, University of Washington",UWBM The Burke Ornithology Collection
ESTADOS UNIDOS DE AMERICA,CAS California Academy of Sciences,CAS-ORN Ornithology Collection
ESTADOS UNIDOS DE AMERICA,"CLO-CU The Cornell Lab of Ornithology, Cornell University",CLO Macaulay Library
ESTADOS UNIDOS DE AMERICA,CMNH Carnegie Museum of Natural History,CM Birds Collection
ESTADOS UNIDOS DE AMERICA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird Alaska eBird
ESTADOS UNIDOS DE AMERICA,CU-NAS-CONABIO Cornell University-National Audubon Society-Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,eBird Bird Conservation Network
