estadomapa,endemismo,TOTAL_ESPECIES,TOTAL__RECORD_BY_ESPECIES
AGUASCALIENTES,Cuasiendémica,6,578
AGUASCALIENTES,Endémica,11,1264
AGUASCALIENTES,Semiendémica,27,5860
BAJA CALIFORNIA,Cuasiendémica,2,4
BAJA CALIFORNIA,Endémica,20,2616
BAJA CALIFORNIA,Semiendémica,32,40770
BAJA CALIFORNIA SUR,Cuasiendémica,1,4
BAJA CALIFORNIA SUR,Endémica,28,30654
BAJA CALIFORNIA SUR,Semiendémica,29,64608
CAMPECHE,Cuasiendémica,15,15268
CAMPECHE,Endémica,7,450
CAMPECHE,Semiendémica,5,2448
CHIAPAS,Cuasiendémica,25,42552
CHIAPAS,Endémica,38,10364
CHIAPAS,Semiendémica,22,2502
CHIHUAHUA,Cuasiendémica,11,5074
CHIHUAHUA,Endémica,36,3144
CHIHUAHUA,Semiendémica,32,10794
CIUDAD DE MEXICO,Cuasiendémica,13,26760
CIUDAD DE MEXICO,Endémica,37,52200
CIUDAD DE MEXICO,Semiendémica,28,73758
COAHUILA DE ZARAGOZA,Cuasiendémica,10,2690
COAHUILA DE ZARAGOZA,Endémica,11,1348
COAHUILA DE ZARAGOZA,Semiendémica,27,10696
COLIMA,Cuasiendémica,16,8108
COLIMA,Endémica,52,38094
COLIMA,Semiendémica,33,11672
DURANGO,Cuasiendémica,13,3924
DURANGO,Endémica,41,3560
DURANGO,Semiendémica,33,11862
GUANAJUATO,Cuasiendémica,10,3052
GUANAJUATO,Endémica,33,8724
GUANAJUATO,Semiendémica,27,32992
GUERRERO,Cuasiendémica,16,9200
GUERRERO,Endémica,66,33618
GUERRERO,Semiendémica,34,8668
HIDALGO,Cuasiendémica,15,2494
HIDALGO,Endémica,22,2628
HIDALGO,Semiendémica,26,5308
JALISCO,Cuasiendémica,18,40516
JALISCO,Endémica,61,148382
JALISCO,Semiendémica,38,96412
MEXICO,Cuasiendémica,13,11436
MEXICO,Endémica,53,26370
MEXICO,Semiendémica,29,31262
MICHOACAN DE OCAMPO,Cuasiendémica,18,15314
MICHOACAN DE OCAMPO,Endémica,62,45310
MICHOACAN DE OCAMPO,Semiendémica,33,37734
MORELOS,Cuasiendémica,11,11724
MORELOS,Endémica,46,37344
MORELOS,Semiendémica,28,20946
NAYARIT,Cuasiendémica,15,35644
NAYARIT,Endémica,59,175268
NAYARIT,Semiendémica,37,70108
NUEVO LEON,Cuasiendémica,11,21444
NUEVO LEON,Endémica,19,5484
NUEVO LEON,Semiendémica,25,15874
OAXACA,Cuasiendémica,20,47516
OAXACA,Endémica,71,152000
OAXACA,Semiendémica,33,47028
PUEBLA,Cuasiendémica,16,3744
PUEBLA,Endémica,51,10108
PUEBLA,Semiendémica,26,10094
QUERETARO,Cuasiendémica,11,2288
QUERETARO,Endémica,24,3772
QUERETARO,Semiendémica,25,13876
QUINTANA ROO,Cuasiendémica,17,91842
QUINTANA ROO,Endémica,14,11750
QUINTANA ROO,Semiendémica,5,22090
SAN LUIS POTOSI,Cuasiendémica,13,5226
SAN LUIS POTOSI,Endémica,22,2956
SAN LUIS POTOSI,Semiendémica,26,5886
SINALOA,Cuasiendémica,14,14174
SINALOA,Endémica,51,52588
SINALOA,Semiendémica,41,29028
SONORA,Cuasiendémica,13,7502
SONORA,Endémica,41,27074
SONORA,Semiendémica,42,61034
TABASCO,Cuasiendémica,10,3206
TABASCO,Endémica,7,36
TABASCO,Semiendémica,3,1258
TAMAULIPAS,Cuasiendémica,13,11058
TAMAULIPAS,Endémica,25,6386
TAMAULIPAS,Semiendémica,23,4206
TLAXCALA,Cuasiendémica,5,1124
TLAXCALA,Endémica,20,1588
TLAXCALA,Semiendémica,21,2090
VERACRUZ DE IGNACIO DE LA LLAVE,Cuasiendémica,20,40004
VERACRUZ DE IGNACIO DE LA LLAVE,Endémica,54,25094
VERACRUZ DE IGNACIO DE LA LLAVE,Semiendémica,24,11012
YUCATAN,Cuasiendémica,17,66156
YUCATAN,Endémica,10,14280
YUCATAN,Semiendémica,6,15560
ZACATECAS,Cuasiendémica,12,242
ZACATECAS,Endémica,32,224
ZACATECAS,Semiendémica,24,1470
