estadomapa,ambiente,endemismo,TOTAL_ESPECIES,TOTAL__RECORD_BY_ESPECIES
OAXACA,Terrestre,Endémica,64,146838
GUERRERO,Terrestre,Endémica,57,32022
JALISCO,Terrestre,Endémica,55,146256
MICHOACAN DE OCAMPO,Terrestre,Endémica,54,43170
NAYARIT,Terrestre,Endémica,51,174458
COLIMA,Terrestre,Endémica,49,38046
PUEBLA,Terrestre,Endémica,48,9998
MEXICO,Terrestre,Endémica,47,22772
VERACRUZ DE IGNACIO DE LA LLAVE,Terrestre,Endémica,45,24394
MORELOS,Terrestre,Endémica,44,37254
SINALOA,Terrestre,Endémica,43,52430
DURANGO,Terrestre,Endémica,38,3378
CHIAPAS,Terrestre,Endémica,33,10302
CIUDAD DE MEXICO,Terrestre,Endémica,33,41402
CHIHUAHUA,Terrestre,Endémica,32,1956
SONORA,Terrestre,Endémica,31,26410
GUANAJUATO,Terrestre,Endémica,28,7308
ZACATECAS,Terrestre,Endémica,27,190
QUERETARO,Terrestre,Endémica,22,2542
HIDALGO,Terrestre,Endémica,21,2428
TAMAULIPAS,Terrestre,Endémica,20,6010
SAN LUIS POTOSI,Terrestre,Endémica,19,2780
TLAXCALA,Terrestre,Endémica,18,1468
NUEVO LEON,Terrestre,Endémica,15,5474
AGUASCALIENTES,Terrestre,Endémica,10,1064
QUINTANA ROO,Terrestre,Endémica,10,9396
COAHUILA DE ZARAGOZA,Terrestre,Endémica,9,1320
YUCATAN,Terrestre,Endémica,8,14252
BAJA CALIFORNIA SUR,Terrestre,Endémica,7,19654
CAMPECHE,Terrestre,Endémica,6,448
TABASCO,Terrestre,Endémica,5,28
BAJA CALIFORNIA,Terrestre,Endémica,5,2252
VERACRUZ DE IGNACIO DE LA LLAVE,Dulceacuícola; Terrestre,Endémica,2,108
MEXICO,Dulceacuícola; Terrestre,Endémica,1,1122
MEXICO,Dulceacuícola,Endémica,1,248
BAJA CALIFORNIA SUR,Dulceacuícola; Terrestre,Endémica,1,4116
GUANAJUATO,Dulceacuícola; Terrestre,Endémica,1,56
NUEVO LEON,Dulceacuícola; Terrestre,Endémica,1,2
GUANAJUATO,Dulceacuícola,Endémica,1,14
NAYARIT,Dulceacuícola,Endémica,1,376
COLIMA,Dulceacuícola,Endémica,1,30
CIUDAD DE MEXICO,Dulceacuícola,Endémica,1,22
MICHOACAN DE OCAMPO,Dulceacuícola; Terrestre,Endémica,1,468
QUERETARO,Dulceacuícola,Endémica,1,2
TAMAULIPAS,Dulceacuícola; Terrestre,Endémica,1,364
MICHOACAN DE OCAMPO,Dulceacuícola,Endémica,1,152
SAN LUIS POTOSI,Dulceacuícola; Terrestre,Endémica,1,56
CHIHUAHUA,Dulceacuícola,Endémica,1,116
JALISCO,Dulceacuícola,Endémica,1,304
BAJA CALIFORNIA,Dulceacuícola; Terrestre,Endémica,1,4
PUEBLA,Dulceacuícola,Endémica,1,4
CIUDAD DE MEXICO,Dulceacuícola; Terrestre,Endémica,1,4
JALISCO,Dulceacuícola; Terrestre,Endémica,1,4
TLAXCALA,Dulceacuícola,Endémica,1,6
