estadomapa,exoticainvasora,especievalida,nombrecomun,TOTAL_RECORD_ESPECIES_EXIN
AGUASCALIENTES,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",1814
AGUASCALIENTES,Exótica-Invasora,Bubulcus ibis,garza ganadera,1004
AGUASCALIENTES,Exótica-Invasora,Columba livia,paloma doméstica,858
AGUASCALIENTES,Exótica-Invasora,Sturnus vulgaris,estornino pinto,754
AGUASCALIENTES,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",452
AGUASCALIENTES,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,102
BAJA CALIFORNIA,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",15428
BAJA CALIFORNIA,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",14964
BAJA CALIFORNIA,Exótica-Invasora,Sturnus vulgaris,estornino pinto,13926
BAJA CALIFORNIA,Exótica-Invasora,Columba livia,paloma doméstica,12498
BAJA CALIFORNIA,Exótica-Invasora,Bubulcus ibis,garza ganadera,1948
BAJA CALIFORNIA,Exótica-Invasora,Phasianus colchicus,faisán de collar,882
BAJA CALIFORNIA,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,600
BAJA CALIFORNIA,Exótica-Invasora,Lonchura punctulata,capuchino pecho escamoso,118
BAJA CALIFORNIA,Exótica-Invasora,Streptopelia chinensis,"paloma ala dorada, paloma de oriente",64
BAJA CALIFORNIA,Exótica-Invasora,Streptopelia roseogrisea,paloma de collar africana,30
BAJA CALIFORNIA,Exótica-Invasora,Cyanoliseus patagonus,,8
BAJA CALIFORNIA SUR,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",14508
BAJA CALIFORNIA SUR,Exótica-Invasora,Sturnus vulgaris,estornino pinto,5824
BAJA CALIFORNIA SUR,Exótica-Invasora,Columba livia,paloma doméstica,5592
BAJA CALIFORNIA SUR,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",5016
BAJA CALIFORNIA SUR,Exótica-Invasora,Bubulcus ibis,garza ganadera,2940
BAJA CALIFORNIA SUR,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,1070
BAJA CALIFORNIA SUR,Exótica-Invasora,Streptopelia roseogrisea,paloma de collar africana,4
BAJA CALIFORNIA SUR,Exótica-Invasora,Phasianus colchicus,faisán de collar,2
CAMPECHE,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",3114
CAMPECHE,Exótica-Invasora,Columba livia,paloma doméstica,2692
CAMPECHE,Exótica-Invasora,Bubulcus ibis,garza ganadera,2118
CAMPECHE,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,302
CAMPECHE,Exótica-Invasora,Lonchura malacca,capuchino tricolor,150
CAMPECHE,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",10
CAMPECHE,Exótica-Invasora,Lonchura punctulata,capuchino pecho escamoso,4
CHIAPAS,Exótica-Invasora,Bubulcus ibis,garza ganadera,8188
CHIAPAS,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",7142
CHIAPAS,Exótica-Invasora,Columba livia,paloma doméstica,5716
CHIAPAS,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",1512
CHIAPAS,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,442
CHIAPAS,Exótica-Invasora,Lonchura malacca,capuchino tricolor,22
CHIHUAHUA,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",4824
CHIHUAHUA,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",3764
CHIHUAHUA,Exótica-Invasora,Columba livia,paloma doméstica,2392
CHIHUAHUA,Exótica-Invasora,Sturnus vulgaris,estornino pinto,1706
CHIHUAHUA,Exótica-Invasora,Bubulcus ibis,garza ganadera,1360
CHIHUAHUA,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,484
CHIHUAHUA,Exótica-Invasora,Streptopelia roseogrisea,paloma de collar africana,2
CIUDAD DE MEXICO,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",35854
CIUDAD DE MEXICO,Exótica-Invasora,Columba livia,paloma doméstica,16504
CIUDAD DE MEXICO,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,6198
CIUDAD DE MEXICO,Exótica-Invasora,Bubulcus ibis,garza ganadera,2736
CIUDAD DE MEXICO,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",1938
CIUDAD DE MEXICO,Exótica-Invasora,Sturnus vulgaris,estornino pinto,1230
COAHUILA DE ZARAGOZA,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",4786
COAHUILA DE ZARAGOZA,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",2616
COAHUILA DE ZARAGOZA,Exótica-Invasora,Columba livia,paloma doméstica,2388
COAHUILA DE ZARAGOZA,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,820
COAHUILA DE ZARAGOZA,Exótica-Invasora,Bubulcus ibis,garza ganadera,682
COAHUILA DE ZARAGOZA,Exótica-Invasora,Sturnus vulgaris,estornino pinto,92
COAHUILA DE ZARAGOZA,Exótica-Invasora,Streptopelia roseogrisea,paloma de collar africana,2
COLIMA,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",1678
COLIMA,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",1512
COLIMA,Exótica-Invasora,Bubulcus ibis,garza ganadera,1038
COLIMA,Exótica-Invasora,Columba livia,paloma doméstica,962
COLIMA,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,4
DURANGO,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",3208
DURANGO,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",2352
DURANGO,Exótica-Invasora,Bubulcus ibis,garza ganadera,2014
DURANGO,Exótica-Invasora,Columba livia,paloma doméstica,1228
DURANGO,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,140
DURANGO,Exótica-Invasora,Sturnus vulgaris,estornino pinto,14
DURANGO,Exótica-Invasora,Streptopelia roseogrisea,paloma de collar africana,2
GUANAJUATO,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",7366
GUANAJUATO,Exótica-Invasora,Bubulcus ibis,garza ganadera,4134
GUANAJUATO,Exótica-Invasora,Columba livia,paloma doméstica,3178
GUANAJUATO,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",3080
GUANAJUATO,Exótica-Invasora,Myiopsitta monachus,perico monje argentino,978
GUANAJUATO,Exótica-Invasora,Sturnus vulgaris,estornino pinto,660
GUERRERO,Exótica-Invasora,Columba livia,paloma doméstica,1328
GUERRERO,Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",1272
GUERRERO,Exótica-Invasora,Bubulcus ibis,garza ganadera,950
GUERRERO,Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",792
