estadomapa,exoticainvasora,TOTAL_ESPECIES_EXIN,TOTAL_RECORD_ESPECIES_EXIN
BAJA CALIFORNIA,Exótica-Invasora,11,60466
QUERETARO,Exótica-Invasora,8,11792
VERACRUZ DE IGNACIO DE LA LLAVE,Exótica-Invasora,8,49590
BAJA CALIFORNIA SUR,Exótica-Invasora,8,34956
TAMAULIPAS,Exótica-Invasora,8,7766
SONORA,Exótica-Invasora,7,34426
COAHUILA DE ZARAGOZA,Exótica-Invasora,7,11386
SINALOA,Exótica-Invasora,7,12364
CHIHUAHUA,Exótica-Invasora,7,14532
PUEBLA,Exótica-Invasora,7,8652
NUEVO LEON,Exótica-Invasora,7,19422
YUCATAN,Exótica-Invasora,7,23016
CAMPECHE,Exótica-Invasora,7,8390
DURANGO,Exótica-Invasora,7,8958
NAYARIT,Exótica-Invasora,7,31732
MICHOACAN DE OCAMPO,Exótica-Invasora,6,17170
CHIAPAS,Exótica-Invasora,6,23022
TLAXCALA,Exótica-Invasora,6,1920
OAXACA,Exótica-Invasora,6,30052
MEXICO,Exótica-Invasora,6,32518
ZACATECAS,Exótica-Invasora,6,918
HIDALGO,Exótica-Invasora,6,6902
GUERRERO,Exótica-Invasora,6,4400
GUANAJUATO,Exótica-Invasora,6,19396
MORELOS,Exótica-Invasora,6,8838
CIUDAD DE MEXICO,Exótica-Invasora,6,64460
QUINTANA ROO,Exótica-Invasora,6,37626
AGUASCALIENTES,Exótica-Invasora,6,4984
JALISCO,Exótica-Invasora,6,52224
SAN LUIS POTOSI,Exótica-Invasora,6,3298
TABASCO,Exótica-Invasora,5,7206
COLIMA,Exótica-Invasora,5,5194
