decade,total_unique_projects_by_decade,total_records_species_validated,unique_species_by_record
1750,1,2,1
1800,3,90,26
1810,2,54,17
1820,5,18,8
1830,5,24,11
1840,3,10,5
1850,7,408,103
1860,10,1500,388
1870,7,1076,298
1880,15,45108,1174
1890,14,25078,1174
1900,14,31952,1257
1910,15,14850,866
1920,16,47084,1210
1930,22,123332,1791
1940,21,188654,1992
1950,28,137772,1977
1960,29,106964,1841
1970,31,142704,1508
1980,36,251090,1502
1990,63,675656,1498
2000,53,1954102,1584
2010,30,11455582,1925
2020,3,6030942,1425
