estadomapa,categoriaresidenciaaves,especievalida,TOTAL_RECORDS
AGUASCALIENTES,Migratoria de invierno (MI),Actitis macularius,538
AGUASCALIENTES,Migratoria de invierno (MI),Aix sponsa,20
AGUASCALIENTES,Migratoria de invierno (MI),Anas acuta,178
AGUASCALIENTES,Migratoria de invierno (MI),Anas crecca,318
AGUASCALIENTES,Migratoria de invierno (MI),Anser albifrons,16
AGUASCALIENTES,Migratoria de invierno (MI),Anser caerulescens,14
AGUASCALIENTES,Migratoria de invierno (MI),Anthus rubescens,138
AGUASCALIENTES,Migratoria de invierno (MI),Anthus spragueii,2
AGUASCALIENTES,Migratoria de invierno (MI),Aythya affinis,94
AGUASCALIENTES,Migratoria de invierno (MI),Aythya collaris,184
AGUASCALIENTES,Migratoria de invierno (MI),Aythya valisineria,122
AGUASCALIENTES,Migratoria de invierno (MI),Bombycilla cedrorum,122
AGUASCALIENTES,Migratoria de invierno (MI),Bucephala albeola,206
AGUASCALIENTES,Migratoria de invierno (MI),Buteo regalis,2
AGUASCALIENTES,Migratoria de invierno (MI),Calamospiza melanocorys,50
AGUASCALIENTES,Migratoria de invierno (MI),Calidris minutilla,216
AGUASCALIENTES,Migratoria de invierno (MI),Cardellina pusilla,492
AGUASCALIENTES,Migratoria de invierno (MI),Catharus guttatus,54
AGUASCALIENTES,Migratoria de invierno (MI),Centronyx bairdii,2
AGUASCALIENTES,Migratoria de invierno (MI),Chroicocephalus philadelphia,2
AGUASCALIENTES,Migratoria de invierno (MI),Corthylio calendula,396
AGUASCALIENTES,Migratoria de invierno (MI),Empidonax hammondii,36
AGUASCALIENTES,Migratoria de invierno (MI),Empidonax minimus,50
AGUASCALIENTES,Migratoria de invierno (MI),Empidonax oberholseri,140
AGUASCALIENTES,Migratoria de invierno (MI),Empidonax traillii,6
AGUASCALIENTES,Migratoria de invierno (MI),Empidonax wrightii,226
AGUASCALIENTES,Migratoria de invierno (MI),Falco columbarius,26
AGUASCALIENTES,Migratoria de invierno (MI),Gallinago delicata,60
AGUASCALIENTES,Migratoria de invierno (MI),Gavia pacifica,2
AGUASCALIENTES,Migratoria de invierno (MI),Geothlypis tolmiei,36
AGUASCALIENTES,Migratoria de invierno (MI),Larus delawarensis,170
AGUASCALIENTES,Migratoria de invierno (MI),Leiothlypis ruficapilla,72
AGUASCALIENTES,Migratoria de invierno (MI),Leiothlypis virginiae,26
AGUASCALIENTES,Migratoria de invierno (MI),Limnodromus scolopaceus,188
AGUASCALIENTES,Migratoria de invierno (MI),Mareca americana,260
AGUASCALIENTES,Migratoria de invierno (MI),Mareca strepera,416
AGUASCALIENTES,Migratoria de invierno (MI),Megaceryle alcyon,186
AGUASCALIENTES,Migratoria de invierno (MI),Melospiza lincolnii,320
AGUASCALIENTES,Migratoria de invierno (MI),Mniotilta varia,40
AGUASCALIENTES,Migratoria de invierno (MI),Numenius americanus,152
AGUASCALIENTES,Migratoria de invierno (MI),Parkesia motacilla,10
AGUASCALIENTES,Migratoria de invierno (MI),Parkesia noveboracensis,14
AGUASCALIENTES,Migratoria de invierno (MI),Passerina cyanea,26
AGUASCALIENTES,Migratoria de invierno (MI),Pelecanus erythrorhynchos,106
AGUASCALIENTES,Migratoria de invierno (MI),Piranga ludoviciana,106
AGUASCALIENTES,Migratoria de invierno (MI),Pooecetes gramineus,278
AGUASCALIENTES,Migratoria de invierno (MI),Sayornis phoebe,64
AGUASCALIENTES,Migratoria de invierno (MI),Selasphorus rufus,106
AGUASCALIENTES,Migratoria de invierno (MI),Setophaga dominica,8
AGUASCALIENTES,Migratoria de invierno (MI),Setophaga nigrescens,100
AGUASCALIENTES,Migratoria de invierno (MI),Setophaga occidentalis,54
AGUASCALIENTES,Migratoria de invierno (MI),Setophaga ruticilla,8
AGUASCALIENTES,Migratoria de invierno (MI),Setophaga townsendi,144
AGUASCALIENTES,Migratoria de invierno (MI),Setophaga virens,2
AGUASCALIENTES,Migratoria de invierno (MI),Sialia currucoides,6
AGUASCALIENTES,Migratoria de invierno (MI),Spatula clypeata,520
AGUASCALIENTES,Migratoria de invierno (MI),Spatula discors,418
AGUASCALIENTES,Migratoria de invierno (MI),Sphyrapicus nuchalis,8
AGUASCALIENTES,Migratoria de invierno (MI),Sphyrapicus varius,134
AGUASCALIENTES,Migratoria de invierno (MI),Spizella breweri,26
AGUASCALIENTES,Migratoria de invierno (MI),Spizella breweri breweri,4
AGUASCALIENTES,Migratoria de invierno (MI),Spizella pallida,446
AGUASCALIENTES,Migratoria de invierno (MI),Tachycineta bicolor,108
AGUASCALIENTES,Migratoria de invierno (MI),Tringa flavipes,50
AGUASCALIENTES,Migratoria de invierno (MI),Tringa melanoleuca,52
AGUASCALIENTES,Migratoria de invierno (MI),Tringa semipalmata,4
AGUASCALIENTES,Migratoria de invierno (MI),Tringa solitaria,36
AGUASCALIENTES,Migratoria de invierno (MI),Vireo solitarius,4
