estadomapa,categoriaresidenciaaves,TOTAL_RECORDS
AGUASCALIENTES,Migratoria de invierno (MI),8810
AGUASCALIENTES,Migratoria de invierno (MI); Migratoria de verano (MV),448
AGUASCALIENTES,Migratoria de invierno (MI); Migratoria de verano (MV); Transitoria (T),62
AGUASCALIENTES,Migratoria de invierno (MI); Transitoria (T),66
AGUASCALIENTES,Migratoria de verano (MV),4
AGUASCALIENTES,Migratoria de verano (MV); Transitoria (T),460
AGUASCALIENTES,Residente (R),41006
AGUASCALIENTES,Residente (R); Migratoria de invierno (MI),32610
AGUASCALIENTES,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),2144
AGUASCALIENTES,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV); Transitoria (T),1778
AGUASCALIENTES,Residente (R); Migratoria de invierno (MI); Transitoria (T),336
AGUASCALIENTES,Residente (R); Migratoria de verano (MV),620
AGUASCALIENTES,Residente (R); Transitoria (T),6
AGUASCALIENTES,Transitoria (T),78
BAJA CALIFORNIA,Accidental (A),378
BAJA CALIFORNIA,Accidental (A); Oceánica (O),16
BAJA CALIFORNIA,Migratoria de invierno (MI),208166
BAJA CALIFORNIA,Migratoria de invierno (MI); Migratoria de verano (MV),7156
BAJA CALIFORNIA,Migratoria de invierno (MI); Migratoria de verano (MV); Transitoria (T),3166
BAJA CALIFORNIA,Migratoria de invierno (MI); Oceánica (O),104
BAJA CALIFORNIA,Migratoria de invierno (MI); Transitoria (T),7604
BAJA CALIFORNIA,Migratoria de invierno (MI); Transitoria (T); Oceánica (O),104
BAJA CALIFORNIA,Migratoria de verano (MV),62
BAJA CALIFORNIA,Migratoria de verano (MV); Transitoria (T),5878
BAJA CALIFORNIA,Residente (R),289832
BAJA CALIFORNIA,Residente (R); Migratoria de invierno (MI),469464
BAJA CALIFORNIA,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),17536
BAJA CALIFORNIA,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV); Transitoria (T),5780
BAJA CALIFORNIA,Residente (R); Migratoria de invierno (MI); Oceánica (O),44
