especievalida,TOTAL
Abeillia abeillei,2188
Abeillia abeillei abeillei,64
Accipiter bicolor,368
Accipiter bicolor bicolor,12
Accipiter bicolor fidens,16
Accipiter chionogaster,20
Accipiter cooperii,40044
Accipiter gentilis,212
Accipiter gentilis apache,2
Accipiter gentilis atricapillus,10
Accipiter striatus,23404
Accipiter striatus madrensis,28
Accipiter striatus striatus,2
Accipiter striatus suttoni,38
Accipiter striatus velox,290
Actitis hypoleucos,4
Actitis macularius,102510
Aechmophorus clarkii,4960
Aechmophorus clarkii clarkii,10
Aechmophorus occidentalis,11776
Aechmophorus occidentalis ephemeralis,8
Aechmophorus occidentalis occidentalis,4
Aegolius acadicus,502
Aegolius acadicus acadicus,24
Aegolius ridgwayi,260
Aeronautes saxatalis,9652
Aeronautes saxatalis nigrior,26
Aeronautes saxatalis saxatalis,96
Aethia cristatella,2
Agamia agami,364
Agapornis personatus,30
Agapornis roseicollis,36
Agelaius phoeniceus,56230
Agelaius phoeniceus gubernator,1748
Agelaius phoeniceus megapotamus,42
Agelaius phoeniceus nelsoni,78
Agelaius phoeniceus neutralis,214
Agelaius phoeniceus nevadensis,28
Agelaius phoeniceus nyaritensis,64
Agelaius phoeniceus phoeniceus,14
Agelaius phoeniceus richmondi,228
Agelaius phoeniceus sonoriensis,244
Agelaius tricolor,580
Aimophila notosticta,1528
Aimophila rufescens,17000
Aimophila rufescens mcleodii,64
Aimophila rufescens pectoralis,38
Aimophila rufescens pyrgitoides,94
Aimophila rufescens rufescens,448
Aimophila ruficeps,14706
Aimophila ruficeps australis,142
Aimophila ruficeps boucardi,230
Aimophila ruficeps canescens,62
Aimophila ruficeps duponti,12
Aimophila ruficeps eremoeca,82
Aimophila ruficeps extima,6
Aimophila ruficeps fusca,110
Aimophila ruficeps ruficeps,12
Aimophila ruficeps rupicola,2
Aimophila ruficeps sanctorum,40
Aimophila ruficeps scottii,144
Aimophila ruficeps simulans,56
Aimophila ruficeps sororia,352
Aix galericulata,4
Aix sponsa,1956
Alectoris chukar,6
Alopochen aegyptiaca,28
Amaurolimnas concolor,112
Amaurolimnas concolor castaneus,6
Amaurolimnas concolor guatemalensis,12
Amaurospiza concolor,368
Amaurospiza concolor concolor,44
Amaurospiza concolor relicta,130
Amazilia rutila,76542
Amazilia rutila corallirostris,72
Amazilia rutila diluta,24
Amazilia rutila graysoni,110
Amazilia rutila rutila,294
Amazilia tzacatl,12384
Amazilia tzacatl tzacatl,352
Amazilia yucatanensis,30738
Amazilia yucatanensis cerviniventris,116
Amazilia yucatanensis chalconota,126
Amazilia yucatanensis yucatanensis,1434
Amazona aestiva,2
Amazona albifrons,52782
Amazona albifrons albifrons,116
Amazona albifrons nana,110
Amazona albifrons saltuensis,210
Amazona auropalliata,198
Amazona auropalliata auropalliata,6
Amazona autumnalis,19626
Amazona autumnalis autumnalis,116
Amazona farinosa,2462
Amazona farinosa guatemalae,152
Amazona finschi,1788
Amazona ochrocephala,18
Amazona oratrix,1028
Amazona oratrix oratrix,16
Amazona oratrix tresmariae,94
Amazona viridigenalis,616
Amazona xantholora,646
Amblycercus holosericeus,17290
Amblycercus holosericeus holosericeus,190
Ammodramus caudacutus,4
Ammodramus savannarum,6558
Ammodramus savannarum bimaculatus,126
