estadomapa,TOTAL_ENDEMIC_ESPECIES,TOTAL__RECORD_BY_ESPECIES
AGUASCALIENTES,44,7702
BAJA CALIFORNIA,54,43390
BAJA CALIFORNIA SUR,58,95266
CAMPECHE,27,18166
CHIAPAS,85,55418
CHIHUAHUA,79,19012
CIUDAD DE MEXICO,78,152718
COAHUILA DE ZARAGOZA,48,14734
COLIMA,101,57874
DURANGO,87,19346
GUANAJUATO,70,44768
GUERRERO,116,51486
HIDALGO,63,10430
JALISCO,117,285310
MEXICO,95,69068
MICHOACAN DE OCAMPO,113,98358
MORELOS,85,70014
NAYARIT,111,281020
NUEVO LEON,55,42802
OAXACA,124,246544
PUEBLA,93,23946
QUERETARO,60,19936
QUINTANA ROO,36,125682
SAN LUIS POTOSI,61,14068
SINALOA,106,95790
SONORA,96,95610
TABASCO,20,4500
TAMAULIPAS,61,21650
TLAXCALA,46,4802
VERACRUZ DE IGNACIO DE LA LLAVE,98,76110
YUCATAN,33,95996
ZACATECAS,68,1936
