nombrecomun,TOTAL_RECORDED_SPECIES_BY_COMMON_NAME
zanate mayor,398968
zopilote aura,324212
paloma alas blancas,275108
Luis bienteveo,246246
"tortolita cola larga, tórtola cola larga",241944
zopilote común,237478
pinzón mexicano,226962
"Luis gregario, luisito común",203772
"gorrión casero, gorrión doméstico",202278
carpintero cheje,201450
perlita azulgris,198568
garza blanca,189892
"mosquero cardenal, papamoscas cardenalito",187498
"tirano melancólico, tirano pirirí, tirano tropical",181966
"garceta pie-dorado, garza dedos dorados",160804
chipe corona negra,152172
"paloma de collar turca, tórtola de collar",151930
"pelícano café, pelícano pardo",143722
paloma doméstica,138354
chipe amarillo,136418
garrapatero pijuy,133252
"fragata magnífica, fragata tijereta",131998
"jilguerito dominico, jilguero dominico",131882
"mirlo café, mirlo pardo",129686
garza morena,127992
"golondrina común, golondrina tijereta",126036
garza ganadera,111054
golondrina alas aserradas,110802
"cormorán neotropical, cormorán oliváceo",110430
tordo cantor,109056
"tortolita canela, tórtola rojiza",106766
"chipe coronado, chipe rabadilla amarilla",106294
colibrí pico ancho,104800
cernícalo americano,103252
playero alzacolita,102510
"garceta verde, garcita verde",101884
"bolsero encapuchado, calandria dorso negro menor",99404
tordo ojos rojos,98584
"chivirín cola oscura, saltapared cola larga",98264
centzontle norteño,97318
centzontle tropical,97106
cuicacoche pico curvo,96476
"huilota común, paloma huilota",96406
"tirano chibiú, tirano gritón",96002
"gavilán pescador, águila pescadora",95764
"bolsero dorso rayado, calandria dorso rayado",92584
carpintero mexicano,92508
"mirlo dorso canela, mirlo dorso rufo",91100
paloma arroyera,89532
"chipe corona naranja, chipe oliváceo",87782
"rascador viejita, toquí pardo",86898
"aguililla cola roja, águila cola roja",86260
chipe trepador,84690
"chivirín saltapared, saltapared común",83356
"bolsero de Altamira, calandria dorso negro mayor",80762
caracara quebrantahuesos,80604
"chara papán, chara pea",79576
"candelero americano, monjita americana",79148
gaviota reidora,77266
papamoscas negro,76818
"colibrí canela, colibrí canelo",76542
"piranga roja, tangara roja",76370
chorlo tildío,76368
papamoscas triste,74392
