estadomapa,TOTAL_CATEGORIES,TOTAL_ESPECIES,TOTAL_RECORD_CATRES_AVES
OAXACA,20,1010,1455062
VERACRUZ DE IGNACIO DE LA LLAVE,20,968,2254488
CHIAPAS,19,962,1609074
JALISCO,20,731,1523350
TAMAULIPAS,17,719,317896
GUERRERO,19,716,264088
NAYARIT,20,686,1577284
MICHOACAN DE OCAMPO,18,676,492890
SONORA,20,668,813794
SINALOA,20,661,504764
SAN LUIS POTOSI,15,654,159944
PUEBLA,15,645,157672
QUINTANA ROO,19,606,1529408
HIDALGO,14,569,99270
CAMPECHE,18,566,423844
MEXICO,15,562,472922
COLIMA,20,562,275138
TABASCO,16,559,252968
BAJA CALIFORNIA,22,559,1025322
CHIHUAHUA,16,555,274770
YUCATAN,19,547,1413114
NUEVO LEON,15,547,520088
DURANGO,15,544,227354
BAJA CALIFORNIA SUR,22,537,953284
CIUDAD DE MEXICO,15,535,991058
QUERETARO,15,529,175444
MORELOS,14,522,291088
ZACATECAS,14,503,28912
GUANAJUATO,14,493,346248
COAHUILA DE ZARAGOZA,13,490,190462
AGUASCALIENTES,14,344,88428
TLAXCALA,13,338,35522
